"Supplementary Table S15. List of cell type-specific unmethylated markers (top 25), covered by Illumina TruSeq EPIC hybrid capture panel (hg19).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,chr,start,end,startCpG,endCpG,position,Number of CpGs,Length,Target meth. ,Background meth.,Diff,Genomic class,Gene,,p-value,,,,,,,,,,,
Adipocytes,chr19,5714972,5715186,24199686,24199692,chr19:5714972-5715186,6CpGs,214bp,0.315,0.884,0.568,intron,LONP1,,,,,,,,,,,,,
Adipocytes,chr11,93266034,93266361,16889457,16889462,chr11:93266034-93266361,5CpGs,327bp,0.335,0.844,0.508,intron,C11orf75,,,,,,,,,,,,,
Adipocytes,chr22,38051826,38052317,26491403,26491411,chr22:38051826-38052317,8CpGs,491bp,0.361,0.823,0.462,TTS;exon,SH3BP1,,,,,,,,,,,,,
Adipocytes,chr17,80024096,80024158,23307133,23307138,chr17:80024096-80024158,5CpGs,62bp,0.351,0.847,0.496,promoter-TSS,DUS1L,,,,,,,,,,,,,
Adipocytes,chr11,70685261,70685603,16700728,16700736,chr11:70685261-70685603,8CpGs,342bp,0.369,0.841,0.472,intron,SHANK2,,,,,,,,,,,,,
Adipocytes,chr22,39664962,39665254,26525158,26525163,chr22:39664962-39665254,5CpGs,292bp,0.39,0.83,0.439,Intergenic,PDGFB,,,,,,,,,,,,,
Adipocytes,chr12,125111263,125111661,18416020,18416027,chr12:125111263-125111661,7CpGs,398bp,0.338,0.894,0.556,Intergenic,NCOR2,,,,,,,,,,,,,
Adipocytes,chr18,71452236,71452390,23917325,23917332,chr18:71452236-71452390,7CpGs,154bp,0.301,0.827,0.526,Intergenic,FBXO15,,,,,,,,,,,,,
Adipocytes,chr11,12840061,12840807,16158533,16158538,chr11:12840061-12840807,5CpGs,746bp,0.269,0.878,0.61,intron,TEAD1,,,,,,,,,,,,,
Adipocytes,chr19,48219990,48220176,24864428,24864442,chr19:48219990-48220176,14CpGs,186bp,0.271,0.863,0.592,exon,EHD2,,,,,,,,,,,,,
Adipocytes,chr14,95948245,95948497,20030457,20030462,chr14:95948245-95948497,5CpGs,252bp,0.337,0.859,0.522,Intergenic,SYNE3,,,,,,,,,,,,,
Adipocytes,chr11,18994018,18994128,16211500,16211509,chr11:18994018-18994128,9CpGs,110bp,0.321,0.849,0.529,Intergenic,MRGPRX1,,,,,,,,,,,,,
Adipocytes,chr2,127878592,127878832,3458229,3458234,chr2:127878592-127878832,5CpGs,240bp,0.209,0.877,0.668,Intergenic,BIN1,,,,,,,,,,,,,
Adipocytes,chr17,41004345,41004548,22750448,22750455,chr17:41004345-41004548,7CpGs,203bp,0.272,0.863,0.59,exon,AOC3,,,,,,,,,,,,,
Adipocytes,chr17,41004636,41004930,22750457,22750471,chr17:41004636-41004930,14CpGs,294bp,0.28,0.892,0.613,exon,AOC3,,,,,,,,,,,,,
Adipocytes,chr6,151857256,151857511,10303014,10303024,chr6:151857256-151857511,10CpGs,255bp,0.36,0.898,0.538,intron,CCDC170,,,,,,,,,,,,,
Adipocytes,chr2,242517608,242518105,4434155,4434162,chr2:242517608-242518105,7CpGs,497bp,0.334,0.865,0.532,Intergenic,BOK-AS1,,,,,,,,,,,,,
Adipocytes,chr9,134195865,134195923,14465927,14465932,chr9:134195865-134195923,5CpGs,58bp,0.36,0.909,0.549,Intergenic,PPAPDC3,,,,,,,,,,,,,
