"chr","start","end","details"
"chr6",30210566,30210566,"Wu prostate cancer DNAm score"
"chr16",85011994,85011994,"Wu prostate cancer DNAm score"
"chr17",691495,691495,"Wu prostate cancer DNAm score"
"chr2",85584169,85584169,"Wu prostate cancer DNAm score"
"chr6",31681742,31681742,"Wu prostate cancer DNAm score"
"chr3",113441707,113441707,"Wu prostate cancer DNAm score"
"chr3",113441643,113441643,"Wu prostate cancer DNAm score"
"chr1",205850481,205850481,"Wu prostate cancer DNAm score"
"chr1",205850335,205850335,"Wu prostate cancer DNAm score"
"chr6",34793095,34793095,"Wu prostate cancer DNAm score"
"chr2",172555171,172555171,"Wu prostate cancer DNAm score"
"chr22",43143582,43143582,"Wu prostate cancer DNAm score"
"chr6",31499021,31499021,"Wu prostate cancer DNAm score"
"chr6",31680787,31680787,"Wu prostate cancer DNAm score"
"chr1",205850123,205850123,"Wu prostate cancer DNAm score"
"chr1",205701476,205701476,"Wu prostate cancer DNAm score"
"chr2",172607619,172607619,"Wu prostate cancer DNAm score"
"chr3",170058204,170058204,"Wu prostate cancer DNAm score"
"chr1",204496456,204496456,"Wu prostate cancer DNAm score"
"chr6",31681725,31681725,"Wu prostate cancer DNAm score"
"chr1",205850364,205850364,"Wu prostate cancer DNAm score"
"chr6",31683585,31683585,"Wu prostate cancer DNAm score"
"chr2",172613267,172613267,"Wu prostate cancer DNAm score"
"chr6",31683501,31683501,"Wu prostate cancer DNAm score"
"chr6",30197250,30197250,"Wu prostate cancer DNAm score"
