cpg,chr,pos,gene,p
cg05951221,2,233?284?402,—,3.2×10?15
cg06644428,2,233?284?112,—,1.2×10?14
cg05575921,5,373?378,AHRR,6.5×10?14
cg21566642,2,233?284?661,—,8.6×10?10
cg03636183,19,17?000?585,F2RL3,5.7×10?7
cg06126421,6,30?720?080,—,1.3×10?6
cg01940273,2,233?284?934,—,1.9×10?6
cg23771366,11,86?510?998,PRSS23,3.1×10?6
cg17272563,6,321?16?548,PRRT1,4.4×10?6
cg23916896,5,368?804,AHRR,1.3×10?5
cg11660018,11,86?510?915,PRSS23,1.3×10?5
cg08118908,16,15?787?920,NDE1,3.0×10?5
cg13937905,12,53?612?551,RARG,1.5×10?4
cg24172324,2,232?258?363,—,1.7×10?4
cg10780313,6,33?501?379,—,2.0×10?4
cg14027333,6,32?116?317,PRRT1,2.1×10?4
cg11245297,19,8?117?898,CCL25,2.1×10?4
cg01692968,9,108?005?349,—,3.1×10?4
cg00706683,2,233?251?030,ECEL1P2,3.4×10?4
cg25317941,2,233?351?153,ECEL1,4.0×10?4
cg25189904,1,68?299?493,GNG12,4.0×10?4
cg14179389,1,92?947?961,GFI1,4.7×10?4
cg13641317,3,127?255?552,—,4.9×10?4
cg19847577,15,29?213?748,APBA2,5.1×10?4
cg14239618,7,110?281?356,—,5.8×10?4
cg25955180,6,32?116?538,PRRT1,6.3×10?4
cg00774149,3,522?55?721,TLR9,6.4×10?4
cg21351392,6,161?607?487,AGPAT4,7.1×10?4
cg11902777,5,368?843,AHRR,7.6×10?4
cg07251887,17,73?641?809,LOC100130933; RECQL5,7.7×10?4
cg19382157,7,2?124?566,MAD1L1,8.9×10?4
cg19925780,1,101?509?557,—,1.1×10?3
cg03679544,6,155?537?972,TIAM2,1.1×10?3
cg08559712,20,16?030?674,MACROD2,1.3×10?3
cg09837977,7,110?731?201,LRRN3; IMMP2L,1.3×10?3
cg00931843,6,155?442?993,TIAM2,1.4×10?3
