"chr","start","end","details"
"chr8",141643690,141643690,"DunedinPACE aging DNAm score"
"chr8",90791184,90791184,"DunedinPACE aging DNAm score"
"chr1",159453254,159453254,"DunedinPACE aging DNAm score"
"chr13",43814537,43814537,"DunedinPACE aging DNAm score"
"chr11",121723512,121723512,"DunedinPACE aging DNAm score"
"chr11",68840154,68840154,"DunedinPACE aging DNAm score"
"chr6",44263240,44263240,"DunedinPACE aging DNAm score"
"chr6",46325997,46325997,"DunedinPACE aging DNAm score"
"chr19",2291781,2291781,"DunedinPACE aging DNAm score"
"chr19",47713133,47713133,"DunedinPACE aging DNAm score"
"chr1",234735730,234735730,"DunedinPACE aging DNAm score"
"chr17",74325810,74325810,"DunedinPACE aging DNAm score"
"chr1",230121320,230121320,"DunedinPACE aging DNAm score"
"chr13",114140541,114140541,"DunedinPACE aging DNAm score"
"chr20",43945701,43945701,"DunedinPACE aging DNAm score"
"chr11",2965275,2965275,"DunedinPACE aging DNAm score"
"chr8",144786278,144786278,"DunedinPACE aging DNAm score"
"chr17",79097442,79097442,"DunedinPACE aging DNAm score"
"chr6",150368989,150368989,"DunedinPACE aging DNAm score"
"chr16",54281639,54281639,"DunedinPACE aging DNAm score"
"chr17",49224252,49224252,"DunedinPACE aging DNAm score"
"chr20",17483186,17483186,"DunedinPACE aging DNAm score"
"chr19",21463979,21463979,"DunedinPACE aging DNAm score"
"chr5",400086,400086,"DunedinPACE aging DNAm score"
"chr9",97011076,97011076,"DunedinPACE aging DNAm score"
"chr7",912244,912244,"DunedinPACE aging DNAm score"
"chr22",30387748,30387748,"DunedinPACE aging DNAm score"
"chr15",39580859,39580859,"DunedinPACE aging DNAm score"
"chr2",170822604,170822604,"DunedinPACE aging DNAm score"
"chr1",247008426,247008426,"DunedinPACE aging DNAm score"
"chr1",239997761,239997761,"DunedinPACE aging DNAm score"
"chr1",3673298,3673298,"DunedinPACE aging DNAm score"
"chr19",1465208,1465208,"DunedinPACE aging DNAm score"
"chr17",78980009,78980009,"DunedinPACE aging DNAm score"
"chr14",95255769,95255769,"DunedinPACE aging DNAm score"
"chr7",911907,911907,"DunedinPACE aging DNAm score"
"chr15",90249824,90249824,"DunedinPACE aging DNAm score"
"chr1",158830234,158830234,"DunedinPACE aging DNAm score"
"chr17",48594499,48594499,"DunedinPACE aging DNAm score"
"chr4",110615185,110615185,"DunedinPACE aging DNAm score"
"chr11",74311303,74311303,"DunedinPACE aging DNAm score"
