cpg,coefficient
cg08461397,1.276403427
cg03966449,1.1563648
cg00574958,1.151691209
cg03819713,0.969649992
cg17901584,0.893294701
cg06933816,0.875556092
cg21420474,0.693048549
cg25732961,0.671532423
cg15107724,0.651153978
cg05484949,0.571967643
cg08577384,0.492847386
cg12437873,0.474721601
cg20396385,0.465160273
cg02075454,0.460696491
cg02311374,0.446317325
cg06767142,0.431044474
cg11082362,0.430081591
cg20493718,0.422432264
cg00467244,0.406691966
cg03477609,0.37325549
cg24730871,0.36815653
cg04330884,0.352875143
cg13676763,0.344762403
cg10166888,0.343714023
cg01930746,0.341357952
cg23839792,0.329007027
cg02071579,0.319257066
cg06572420,0.306514702
cg24002003,0.305745486
cg15037541,0.294247588
cg27106643,0.291957334
cg22171829,0.288608488
cg05119988,0.27500887
cg00948664,0.274215863
cg22911054,0.268192024
cg14559212,0.261780092
cg22078869,0.24555662
cg22381454,0.244550636
cg04301102,0.241977313
cg25360929,0.241600137
cg14483667,0.22633958
cg15996284,0.224351665
cg22017213,0.212573362
cg14541582,-0.200660166
cg20625334,-0.203069834
cg13691961,-0.205008763
cg22521333,-0.208145769
cg22365240,-0.210535669
cg16268380,-0.211144435
cg05295703,-0.211378849
cg13883671,-0.21744584
cg27172745,-0.218688298
cg26800462,-0.219111625
cg19865525,-0.229073051
cg08186900,-0.229836298
cg26360402,-0.231819997
cg17730048,-0.233902217
cg17662369,-0.234826474
cg21715431,-0.239855452
cg24612420,-0.263091093
cg22511877,-0.265410253
cg08854185,-0.269669518
cg26033520,-0.273191073
cg23418671,-0.276942725
cg06891164,-0.302559308
cg03208951,-0.303668933
cg07387931,-0.305967101
cg13676787,-0.321719003
cg17124478,-0.323666541
cg14613607,-0.335970873
cg07814318,-0.34484299
cg05502081,-0.350037131
cg16937778,-0.350264976
cg06064964,-0.367223045
cg27243685,-0.386626761
cg08093226,-0.407292756
cg19881557,-0.437694138
cg26247263,-0.43877047
cg09331632,-0.4781781
cg05982460,-0.478879769
cg18615457,-0.492673885
cg22488164,-0.493095706
cg24166814,-0.497843768
cg26355072,-0.603425478
cg08317834,-0.632828402
cg08989932,-0.843609415
cg20432181,-0.906463586
cg18004262,-1.110607638
cg06500161,-1.644353742
