"chr","start","end","details"
"chr15",74432577,74432577,"van Dongen education DNAm score"
"chr5",369854,369854,"van Dongen education DNAm score"
"chr2",232420224,232420224,"van Dongen education DNAm score"
"chr11",120326812,120326812,"van Dongen education DNAm score"
"chr2",232418619,232418619,"van Dongen education DNAm score"
"chr10",79075190,79075190,"van Dongen education DNAm score"
"chr19",48875870,48875870,"van Dongen education DNAm score"
"chr7",44963137,44963137,"van Dongen education DNAm score"
"chr5",393251,393251,"van Dongen education DNAm score"
"chr7",22855176,22855176,"van Dongen education DNAm score"
"chr5",373263,373263,"van Dongen education DNAm score"
"chr5",75566877,75566877,"van Dongen education DNAm score"
"chr4",123233138,123233138,"van Dongen education DNAm score"
"chr20",51695951,51695951,"van Dongen education DNAm score"
"chr2",9703396,9703396,"van Dongen education DNAm score"
"chr7",30348338,30348338,"van Dongen education DNAm score"
"chr1",92482031,92482031,"van Dongen education DNAm score"
"chr5",84602890,84602890,"van Dongen education DNAm score"
"chr8",142044361,142044361,"van Dongen education DNAm score"
"chr5",368728,368728,"van Dongen education DNAm score"
"chr7",44963320,44963320,"van Dongen education DNAm score"
"chr5",368279,368279,"van Dongen education DNAm score"
"chr14",77001048,77001048,"van Dongen education DNAm score"
"chr5",150781737,150781737,"van Dongen education DNAm score"
"chr6",30752331,30752331,"van Dongen education DNAm score"
"chr6",30752432,30752432,"van Dongen education DNAm score"
"chr10",102436486,102436486,"van Dongen education DNAm score"
"chr11",129923213,129923213,"van Dongen education DNAm score"
"chr17",78358540,78358540,"van Dongen education DNAm score"
"chr2",144359066,144359066,"van Dongen education DNAm score"
"chr7",44962688,44962688,"van Dongen education DNAm score"
"chr17",40319772,40319772,"van Dongen education DNAm score"
"chr4",26788293,26788293,"van Dongen education DNAm score"
"chr3",98532450,98532450,"van Dongen education DNAm score"
"chr17",4858349,4858349,"van Dongen education DNAm score"
"chr6",36677723,36677723,"van Dongen education DNAm score"
"chr5",399245,399245,"van Dongen education DNAm score"
"chr7",146115750,146115750,"van Dongen education DNAm score"
"chr2",232419951,232419951,"van Dongen education DNAm score"
"chr11",68370801,68370801,"van Dongen education DNAm score"
"chr7",22855209,22855209,"van Dongen education DNAm score"
"chr15",89813970,89813970,"van Dongen education DNAm score"
"chr5",368689,368689,"van Dongen education DNAm score"
"chr5",400617,400617,"van Dongen education DNAm score"
"chr1",1200575,1200575,"van Dongen education DNAm score"
"chr6",30752426,30752426,"van Dongen education DNAm score"
"chr1",67833810,67833810,"van Dongen education DNAm score"
"chr13",67227419,67227419,"van Dongen education DNAm score"
"chr5",395329,395329,"van Dongen education DNAm score"
"chr7",146117214,146117214,"van Dongen education DNAm score"
"chr1",25023190,25023190,"van Dongen education DNAm score"
"chr5",368332,368332,"van Dongen education DNAm score"
"chr2",232419692,232419692,"van Dongen education DNAm score"
"chr6",30752303,30752303,"van Dongen education DNAm score"
"chr5",323679,323679,"van Dongen education DNAm score"
"chr7",44962887,44962887,"van Dongen education DNAm score"
"chr5",323792,323792,"van Dongen education DNAm score"
"chr13",67226993,67226993,"van Dongen education DNAm score"
