#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc,is.top50
1,818094,.,2503,0.443604,1_818094,10.4262,1.8834e-25,0.1302143,cg23999112,0.321717285073575,FALSE
1,959193,.,2503,0.463144,1_959193,10.2916,7.68783e-25,-0.6091174,cg06324192,0.946987505857245,TRUE
1,986336,.,2503,0.443749,1_986336,,,-0.3704561,cg08750554,0.81150894435716,FALSE
1,1032278,.,2503,0.502818,1_1032278,,,-0.1425502,cg24378253,0.373572112033832,FALSE
1,1419135,.,2503,0.521907,1_1419135,10.7116,8.97734e-27,0.6100993,cg04865726,0.94720013860505,TRUE
1,3213452,.,2503,0.425168,1_3213452,-6.91996,4.51762e-12,0.4314729,cg04924128,0.867821183734382,FALSE
1,3214671,.,2503,0.426036,1_3214671,-6.9201,4.5134e-12,0.1521499,cg22976360,0.411180544891104,FALSE
1,3216858,.,2503,0.426346,1_3216858,-7.21898,5.2378e-13,0.1287914,cg12408250,0.315031166448128,FALSE
1,3220635,.,2503,0.429291,1_3220635,-6.9859,2.83035e-12,0.2114196,cg25150520,0.586185171622191,FALSE
1,3223178,.,2503,0.430377,1_3223178,-6.98473,2.85403e-12,-0.156113,cg10493186,0.425934895002737,FALSE
1,3230466,.,2503,0.425691,1_3230466,-7.2062,5.75349e-13,0.146561,cg01777678,0.389492004614918,FALSE
1,3275878,.,2503,0.458052,1_3275878,11.4611,2.06758e-30,-0.1922262,cg13434489,0.539929673687485,FALSE
1,3549132,.,2503,0.478729,1_3549132,11.2019,3.99189e-29,-0.1906345,cg02056280,0.535369882540095,FALSE
1,3668207,.,2503,0.469368,1_3668207,8.89903,5.63347e-19,-0.1178678,cg04392488,0.264692332226856,FALSE
1,3779436,.,2503,0.452685,1_3779436,8.47246,2.40265e-17,0.3615832,cg07586042,0.801842029618954,FALSE
1,3794629,.,2503,0.442019,1_3794629,8.58176,9.34307e-18,0.1433998,cg01782523,0.376737977390051,FALSE
1,5820885,.,2503,0.431181,1_5820885,9.69107,3.29076e-22,-0.1673456,cg05302064,0.465110509964207,FALSE
1,5831328,.,2503,0.439179,1_5831328,8.32588,8.37076e-17,-0.0494774,cg08545746,0.0122460712162199,FALSE
1,6283824,.,2503,0.451976,1_6283824,10.1925,2.14239e-24,-0.1558998,cg10375954,0.425206430959328,FALSE
1,6289567,.,2503,0.471609,1_6289567,10.0453,9.63645e-24,0.1177979,cg10059687,0.26440488425297,FALSE
1,6295872,.,2503,0.454325,1_6295872,10.4272,1.86282e-25,0.1073313,cg00425213,0.215042585614213,FALSE
1,6297652,.,2503,0.431,1_6297652,10.3054,6.6599e-25,0.1990553,cg10219223,0.557204115624963,FALSE
1,6361636,.,2503,0.459255,1_6361636,10.1011,5.45998e-24,0.1792387,cg00297432,0.502183423308487,FALSE
1,6395835,.,2503,0.46687,1_6395835,10.007,1.42001e-23,-0.0758104,cg05382282,0.0804421186096968,FALSE
1,6408493,.,2503,0.456827,1_6408493,10.0815,6.67337e-24,0.3128112,cg01501312,0.745919616946043,FALSE
1,10150926,.,2503,0.431739,1_10150926,10.1556,3.12912e-24,0.0896932,cg27508545,0.134635905795817,FALSE
1,10979510,.,2503,0.454442,1_10979510,9.48162,2.50365e-21,-0.2604856,cg24412659,0.678333904291638,FALSE
1,11334377,.,2503,0.445574,1_11334377,-6.90571,4.99518e-12,-0.1063363,cg08243619,0.210215034710327,FALSE
1,11337446,.,2503,0.416938,1_11337446,-8.10748,5.16824e-16,0.1813322,cg16733203,0.508349772994854,FALSE
1,11352217,.,2503,0.418968,1_11352217,-7.6475,2.04921e-14,0.0939567,cg14966878,0.153205832437519,FALSE
1,14553520,.,2503,0.429951,1_14553520,8.68265,3.86639e-18,0.0726331,cg21907496,0.0699089223063565,FALSE
1,19548523,.,2503,0.417864,1_19548523,-7.95926,1.73074e-15,-0.0979666,cg09860653,0.171594627479239,FALSE
1,19550288,.,2503,0.428967,1_19550288,-7.48664,7.06589e-14,-0.0407402,cg07367302,0.00256734354758052,FALSE
1,19646092,.,2503,0.50746,1_19646092,9.64727,5.04795e-22,-0.0792679,cg01832549,0.0925976240259254,FALSE
1,23406269,.,2503,0.446395,1_23406269,8.84745,8.95426e-19,-0.5157447,cg27447006,0.915895872955871,TRUE
1,25883194,.,2503,0.482829,1_25883194,-6.50918,7.55622e-11,-0.1060472,cg23689304,0.20896286408436,FALSE
1,30127657,.,2503,0.429595,1_30127657,11.7624,6.10049e-32,0.1093029,cg16012162,0.224166105552471,FALSE
1,35070852,.,2503,0.489796,1_35070852,6.61385,3.74446e-11,0.205953,cg17481638,0.574041479136396,FALSE
1,35170626,.,2503,0.447095,1_35170626,-7.22152,5.14107e-13,-0.8987742,cg12633102,0.985828421123095,TRUE
1,36534832,.,2503,0.47097,1_36534832,11.9852,4.24956e-33,0.0978157,cg02483735,0.170877976366264,FALSE
1,44021608,.,2503,0.653006,1_44021608,9.77942,1.38e-22,-0.2291383,cg06754987,0.623226583818648,FALSE
1,44022941,.,2503,0.523565,1_44022941,12.1051,9.92973e-34,-0.2496707,cg11337388,0.660736575588973,FALSE
1,46565668,.,2503,0.460443,1_46565668,-7.7099,1.25919e-14,0.1476163,cg04831174,0.393681657275387,FALSE
1,53282614,.,2503,0.445865,1_53282614,8.9277,4.34953e-19,0.0433884,cg09991173,0.00444166184305341,FALSE
1,53418917,.,2503,0.471148,1_53418917,10.599,3.01261e-26,-0.0719126,cg06645987,0.0674203316283337,FALSE
1,63887802,.,2503,0.483779,1_63887802,10.2726,9.36286e-25,0.1351893,cg05591605,0.343145940880221,FALSE
1,63904378,.,2503,0.484791,1_63904378,10.6583,1.594e-26,-0.084438,cg27510001,0.112616603467489,FALSE
1,63975930,.,2503,0.45231,1_63975930,11.08,1.56939e-28,-0.3451605,cg01723995,0.78266176823818,FALSE
1,65143011,.,2503,0.441161,1_65143011,9.95087,2.49976e-23,0.6719661,cg23013958,0.960871636760264,TRUE
1,67645112,.,2503,0.439179,1_67645112,8.74161,2.2982e-18,-0.1614945,cg03143457,0.445201784540024,FALSE
1,68067092,.,2503,0.500034,1_68067092,12.4034,2.5034e-35,0.3951679,cg09118625,0.83661535917215,FALSE
1,73876717,.,2503,0.44317,1_73876717,-7.27864,3.37208e-13,0.0906202,cg06034096,0.138636551569348,FALSE
1,74432810,.,2503,0.511842,1_74432810,9.57759,9.93372e-22,-0.0929134,cg03035538,0.148417657968412,FALSE
1,93073655,.,2503,0.464931,1_93073655,10.6947,1.07796e-26,-0.4848134,cg19708337,0.901141522844239,FALSE
1,93127020,.,2503,0.479977,1_93127020,10.603,2.88613e-26,-0.1595692,cg17298516,0.438468414192842,FALSE
1,93145378,.,2503,0.487046,1_93145378,10.601,2.94802e-26,-0.1496928,cg15093775,0.401840454561563,FALSE
1,93695231,.,2503,0.498645,1_93695231,12.0063,3.29109e-33,0.1700675,cg21812313,0.473730011537295,FALSE
1,99800920,.,2503,0.468966,1_99800920,10.3801,3.0541e-25,-0.1003611,cg09370016,0.182285329521694,FALSE
1,106633288,.,2503,0.418304,1_106633288,-4.75894,1.94609e-06,0.0853846,cg26145228,0.116534558727984,FALSE
1,109279386,.,2503,0.435741,1_109279386,9.63115,5.9063e-22,0.4821095,cg25213350,0.899645218322643,FALSE
1,116066282,.,2503,0.489115,1_116066282,9.75445,1.76562e-22,0.1741514,cg09024228,0.486669108005623,FALSE
1,116127256,.,2503,0.428067,1_116127256,10.1746,2.57488e-24,-0.1359976,cg10230848,0.346705570584228,FALSE
1,116571486,.,2503,0.459405,1_116571486,9.15985,5.19683e-20,0.1159154,cg26313955,0.255222299662544,FALSE
1,119882781,.,2503,0.459488,1_119882781,-6.43715,1.21736e-10,-0.2189647,cg23267987,0.602735087159738,FALSE
1,119946434,.,2503,0.573939,1_119946434,8.06157,7.53238e-16,-0.1421161,cg26933147,0.371831673616607,FALSE
1,150993721,.,2503,0.458665,1_150993721,10.8114,3.03854e-27,-0.2774666,cg26891210,0.702865423158856,FALSE
1,151112020,.,2503,0.482425,1_151112020,8.99605,2.33993e-19,-0.0431204,cg10895130,0.00425265495611496,FALSE
1,151150013,.,2503,0.577968,1_151150013,4.8382,1.31018e-06,-0.0928344,cg00653615,0.148122334707571,FALSE
1,154559434,.,2503,0.536119,1_154559434,10.3668,3.50902e-25,-0.1089267,cg27530370,0.222429604778724,FALSE
1,154861616,.,2503,0.447927,1_154861616,-6.03837,1.55677e-09,0.4327226,cg12436631,0.868841033395154,FALSE
1,156440899,.,2503,0.466122,1_156440899,8.31629,9.0758e-17,-0.4642049,cg12267069,0.88934040534102,FALSE
1,156813500,.,2503,0.419618,1_156813500,9.47324,2.71303e-21,0.0973163,cg25827666,0.16863351958387,FALSE
1,157514663,.,2503,0.442697,1_157514663,8.75507,2.03973e-18,-0.3858326,cg17134153,0.827629656755618,FALSE
1,159633080,.,2503,0.431085,1_159633080,8.19262,2.556e-16,-0.0650579,cg05919685,0.0464641930390339,FALSE
1,161976937,.,2503,0.496145,1_161976937,10.3846,2.91364e-25,-0.1223275,cg00853687,0.285813851842227,FALSE
1,161980609,.,2503,0.524943,1_161980609,,,-0.119818,cg19735514,0.273733161652078,FALSE
1,165618891,.,2503,0.451583,1_165618891,-4.73894,2.14844e-06,-0.1188938,cg00573584,0.269346626817715,FALSE
1,167348623,.,2503,0.418968,1_167348623,-7.71142,1.24425e-14,0.0768408,cg22356347,0.0840883764702176,FALSE
1,172441827,.,2503,0.445572,1_172441827,-6.47853,9.26235e-11,-0.1128555,cg08587864,0.240995593776948,FALSE
1,172443855,.,2503,0.418921,1_172443855,-7.46048,8.62076e-14,0.1514239,cg16177739,0.408487196752232,FALSE
1,172444386,.,2503,0.418484,1_172444386,-7.45156,9.22429e-14,-0.1126816,cg10622825,0.240160813359637,FALSE
1,173942571,.,2503,0.439455,1_173942571,10.7559,5.55892e-27,-0.0599097,cg01717800,0.0330998310750948,FALSE
1,173968277,.,2503,0.429361,1_173968277,8.61552,6.96259e-18,0.0495105,cg11537707,0.0122854476509988,FALSE
