#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc,is.top50
1,1230159,.,2503,0.381227,1_1230159,-7.68574,1.52118e-14,0.2318613,cg10143960,0.628573903661615,FALSE
1,1363898,.,2503,0.354008,1_1363898,8.58472,9.10597e-18,0.5290623,cg00060374,0.921562141920546,TRUE
1,1434687,.,2503,0.414429,1_1434687,9.4075,5.08056e-21,0.8738788,cg09668627,0.984095857992826,TRUE
1,15085773,.,2503,0.396185,1_15085773,8.58453,9.12093e-18,0.1403466,cg12436612,0.364696663634681,FALSE
1,16064561,.,2503,0.467004,1_16064561,-6.68348,2.33337e-11,0.0717678,cg11218176,0.0670147543501116,FALSE
1,16080094,.,2503,0.346027,1_16080094,-7.86485,3.69543e-15,-0.0897063,cg20167471,0.13468709516103,FALSE
1,16107183,.,2503,0.360978,1_16107183,9.48868,2.33968e-21,0.1631597,cg23105827,0.451151563835107,FALSE
1,16412468,.,2503,0.382471,1_16412468,10.6695,1.41345e-26,-0.088154,cg18117094,0.127973413031237,FALSE
1,16514605,.,2503,0.351194,1_16514605,-7.82805,4.95479e-15,0.1375103,cg09507771,0.35297429900102,FALSE
1,16523518,.,2503,0.400671,1_16523518,-6.57828,4.7592e-11,0.2726818,cg07925738,0.696293496194268,FALSE
1,26725589,.,2503,0.37478,1_26725589,-8.11799,4.73984e-16,0.1359848,cg06720467,0.346658318862494,FALSE
1,26755888,.,2503,0.350589,1_26755888,9.26162,2.01359e-20,-0.2013049,cg12699080,0.562823132867904,FALSE
1,26827467,.,2503,0.371323,1_26827467,9.40159,5.37432e-21,-0.1356018,cg08168580,0.345036009749605,FALSE
1,26852571,.,2503,0.359836,1_26852571,9.3081,1.30141e-20,0.1343353,cg11348165,0.3394996830197,FALSE
1,28307561,.,2503,0.34719,1_28307561,-8.18706,2.67676e-16,0.1432112,cg25775721,0.376001638059687,FALSE
1,28310182,.,2503,0.372858,1_28310182,8.80827,1.27096e-18,-0.3638037,cg10387543,0.804263680357853,FALSE
1,39688511,.,2503,0.346313,1_39688511,8.56411,1.08918e-17,0.1732479,cg10487067,0.483932445788493,FALSE
1,47204853,.,2503,0.341917,1_47204853,-6.59384,4.28587e-11,-0.1810268,cg02939078,0.507487429073197,FALSE
1,52879076,.,2503,0.347728,1_52879076,-7.68268,1.55791e-14,-0.2473007,cg11380580,0.656956437850204,FALSE
1,65491255,.,2503,0.33669,1_65491255,-8.38863,4.91831e-17,0.1244671,cg14199090,0.295445327789131,FALSE
1,65503869,.,2503,0.336009,1_65503869,9.41179,4.87773e-21,-0.1218399,cg16009734,0.283423702251151,FALSE
1,65570758,.,2503,0.377057,1_65570758,10.3765,3.17088e-25,0.0876576,cg26832142,0.125984903074906,FALSE
1,65609440,.,2503,0.365713,1_65609440,10.561,4.51878e-26,0.1960335,cg07959978,0.550006103347391,FALSE
1,74869423,.,2503,0.396589,1_74869423,10.5294,6.32401e-26,-0.1409622,cg09766820,0.367161628451837,FALSE
1,74936182,.,2503,0.425324,1_74936182,10.9324,8.07151e-28,-0.2486343,cg11196437,0.659078827684784,FALSE
1,74946161,.,2503,0.386508,1_74946161,10.4292,1.82334e-25,0.0718672,cg21535942,0.0673140152544308,FALSE
1,74949060,.,2503,0.40286,1_74949060,10.5567,4.72896e-26,-0.1693736,cg23845450,0.471635185207061,FALSE
1,75471744,.,2503,0.383133,1_75471744,10.3421,4.54524e-25,0.1142127,cg07399417,0.247441516150245,FALSE
1,75610705,.,2503,0.383765,1_75610705,9.9665,2.13633e-23,-0.3811619,cg10523679,0.822715477695219,FALSE
1,75622923,.,2503,0.389965,1_75622923,9.92421,3.26668e-23,0.1742809,cg05725004,0.487078622927323,FALSE
1,75626191,.,2503,0.397623,1_75626191,10.0819,6.63984e-24,0.0806727,cg04940515,0.0976496206080509,FALSE
1,75631519,.,2503,0.454517,1_75631519,8.11018,5.05448e-16,-0.5245449,cg13421759,0.919742950633764,TRUE
1,75786061,.,2503,0.453287,1_75786061,-7.4966,6.54922e-14,0.1414948,cg09458394,0.369236766564682,FALSE
1,75829452,.,2503,0.392165,1_75829452,-7.23223,4.75119e-13,0.1535253,cg11985680,0.416264042621053,FALSE
1,92133615,.,2503,0.354807,1_92133615,9.90823,3.8336e-23,-0.1452962,cg01347529,0.384487259754527,FALSE
1,92366012,.,2503,0.400069,1_92366012,9.81713,9.50142e-23,-0.1705301,cg09935388,0.475127874971944,FALSE
