"chr","start","end","details"
"chr6",163867591,163867591,"Colcino lead DNAm score"
"chr19",29213121,29213121,"Colcino lead DNAm score"
"chr15",74461444,74461444,"Colcino lead DNAm score"
"chr20",35275956,35275956,"Colcino lead DNAm score"
"chr1",231338511,231338511,"Colcino lead DNAm score"
"chr10",52313685,52313685,"Colcino lead DNAm score"
"chr5",5423344,5423344,"Colcino lead DNAm score"
"chr17",82577552,82577552,"Colcino lead DNAm score"
"chr2",73177396,73177396,"Colcino lead DNAm score"
"chr6",50851341,50851341,"Colcino lead DNAm score"
"chr11",70156227,70156227,"Colcino lead DNAm score"
"chr17",3860957,3860957,"Colcino lead DNAm score"
"chr1",163104298,163104298,"Colcino lead DNAm score"
"chr16",18983835,18983835,"Colcino lead DNAm score"
"chr10",10642900,10642900,"Colcino lead DNAm score"
"chr3",72032669,72032669,"Colcino lead DNAm score"
"chr2",42792714,42792714,"Colcino lead DNAm score"
"chr1",34781158,34781158,"Colcino lead DNAm score"
"chr17",13602434,13602434,"Colcino lead DNAm score"
"chr17",1179591,1179591,"Colcino lead DNAm score"
"chr2",231530260,231530260,"Colcino lead DNAm score"
"chr10",59710222,59710222,"Colcino lead DNAm score"
"chr10",100267646,100267646,"Colcino lead DNAm score"
"chr19",31354779,31354779,"Colcino lead DNAm score"
"chr8",144338451,144338451,"Colcino lead DNAm score"
"chr2",174696108,174696108,"Colcino lead DNAm score"
"chr12",64883708,64883708,"Colcino lead DNAm score"
"chr14",94323775,94323775,"Colcino lead DNAm score"
"chr3",127390717,127390717,"Colcino lead DNAm score"
"chr15",52803626,52803626,"Colcino lead DNAm score"
"chr9",137148205,137148205,"Colcino lead DNAm score"
"chr15",65049530,65049530,"Colcino lead DNAm score"
"chr9",135265629,135265629,"Colcino lead DNAm score"
"chr18",2846836,2846836,"Colcino lead DNAm score"
"chr11",102347627,102347627,"Colcino lead DNAm score"
"chr2",186849341,186849341,"Colcino lead DNAm score"
"chr6",118783959,118783959,"Colcino lead DNAm score"
"chr9",96450378,96450378,"Colcino lead DNAm score"
"chr11",46333253,46333253,"Colcino lead DNAm score"
"chr1",202967213,202967213,"Colcino lead DNAm score"
"chr20",61253472,61253472,"Colcino lead DNAm score"
"chr2",241739426,241739426,"Colcino lead DNAm score"
"chr7",139341368,139341368,"Colcino lead DNAm score"
"chr14",58396247,58396247,"Colcino lead DNAm score"
"chr5",123037189,123037189,"Colcino lead DNAm score"
"chr3",150704078,150704078,"Colcino lead DNAm score"
"chr10",14010029,14010029,"Colcino lead DNAm score"
"chr16",20348895,20348895,"Colcino lead DNAm score"
"chr1",19140946,19140946,"Colcino lead DNAm score"
"chr3",64444958,64444958,"Colcino lead DNAm score"
"chr20",25700416,25700416,"Colcino lead DNAm score"
"chr7",157041121,157041121,"Colcino lead DNAm score"
"chr1",25799969,25799969,"Colcino lead DNAm score"
"chr19",12295339,12295339,"Colcino lead DNAm score"
"chr10",132833578,132833578,"Colcino lead DNAm score"
"chr7",158321913,158321913,"Colcino lead DNAm score"
"chr10",57628841,57628841,"Colcino lead DNAm score"
"chr11",114400476,114400476,"Colcino lead DNAm score"
