"chr","start","end","details"
"chr3","187669862","187669862","Age"
"chr6","31137934","31137934","Age"
"chr12","11500552","11500552","Age"
"chr12","81074453","81074453","Age"
"chr11","133928016","133928016","Age"
"chr2","96536523","96536523","Age"
"chr4","146637087","146637087","Age"
"chr17","64321333","64321333","Age"
"chr14","60641509","60641509","Age"
"chr15","79283718","79283718","Age"
"chr7","131323984","131323984","Age"
"chr3","53046424","53046424","Age"
"chr1","117122431","117122431","Age"
"chr16","30063871","30063871","Age"
"chr3","51974471","51974471","Age"
"chr15","31483692","31483692","Age"
"chr11","12675211","12675211","Age"
"chr22","21014721","21014721","Age"
"chr11","66316226","66316226","Age"
"chr6","25652374","25652374","Age"
"chr2","105399282","105399282","Age"
"chr6","30327689","30327689","Age"
"chr17","42025397","42025397","Age"
"chr16","85395429","85395429","Age"
"chr20","46029586","46029586","Age"
"chr3","160450189","160450189","Age"
"chr8","81731777","81731777","Age"
"chr7","130734398","130734398","Age"
"chr7","130734372","130734372","Age"
"chr5","139633732","139633732","Age"
"chr22","36252927","36252927","Age"
"chr7","152894613","152894613","Age"
"chr1","236394382","236394382","Age"
"chr1","207823675","207823675","Age"
"chr11","66316070","66316070","Age"
"chr6","147207385","147207385","Age"
"chr19","15232171","15232171","Age"
"chr17","30235667","30235667","Age"
"chr1","169586784","169586784","Age"
"chr8","56448054","56448054","Age"
"chr6","11044644","11044644","Age"
"chr18","68722183","68722183","Age"
"chr12","30696180","30696180","Age"
"chr10","96302930","96302930","Age"
"chr6","10510556","10510556","Age"
"chr7","130733497","130733497","Age"
"chr1","17012271","17012271","Age"
"chr15","32718335","32718335","Age"
"chr2","229587595","229587595","Age"
"chr2","38960398","38960398","Age"
"chr11","66316102","66316102","Age"
"chr7","130734412","130734412","Age"
"chr2","105399310","105399310","Age"
"chr1","26529274","26529274","Age"
"chr6","18122488","18122488","Age"
"chr10","48465491","48465491","Age"
"chr11","9004220","9004220","Age"
"chr5","141040234","141040234","Age"
"chr2","130756354","130756354","Age"
"chr11","10302355","10302355","Age"
"chr1","27915066","27915066","Age"
"chr4","83334258","83334258","Age"
"chr3","187670078","187670078","Age"
"chr13","40092770","40092770","Age"
"chr2","30339104","30339104","Age"
"chr7","156640414","156640414","Age"
"chr15","72232671","72232671","Age"
"chr7","130734355","130734355","Age"
"chr12","54054481","54054481","Age"
"chr17","57585864","57585864","Age"
"chr2","105399314","105399314","Age"
