"chr","start","end","details"
"chr9",105243068,105243068,"Gupta cotinine EWAS"
"chr5",369854,369854,"Gupta cotinine EWAS"
"chr2",232420224,232420224,"Gupta cotinine EWAS"
"chr3",122916202,122916202,"Gupta cotinine EWAS"
"chr2",232418619,232418619,"Gupta cotinine EWAS"
"chr19",16889774,16889774,"Gupta cotinine EWAS"
"chr13",74301834,74301834,"Gupta cotinine EWAS"
"chr4",4791365,4791365,"Gupta cotinine EWAS"
"chr11",34396903,34396903,"Gupta cotinine EWAS"
"chr16",803349,803349,"Gupta cotinine EWAS"
"chr17",10804230,10804230,"Gupta cotinine EWAS"
"chr17",8900962,8900962,"Gupta cotinine EWAS"
"chr5",373263,373263,"Gupta cotinine EWAS"
"chr2",232419402,232419402,"Gupta cotinine EWAS"
"chr16",50245264,50245264,"Gupta cotinine EWAS"
"chr7",5417594,5417594,"Gupta cotinine EWAS"
"chr8",63470248,63470248,"Gupta cotinine EWAS"
"chr11",76669996,76669996,"Gupta cotinine EWAS"
"chr5",83927009,83927009,"Gupta cotinine EWAS"
"chr12",1864706,1864706,"Gupta cotinine EWAS"
"chr5",368728,368728,"Gupta cotinine EWAS"
"chr22",37203420,37203420,"Gupta cotinine EWAS"
"chr2",232420579,232420579,"Gupta cotinine EWAS"
"chr4",146216892,146216892,"Gupta cotinine EWAS"
"chr9",136521650,136521650,"Gupta cotinine EWAS"
"chr5",150781737,150781737,"Gupta cotinine EWAS"
"chr11",68374730,68374730,"Gupta cotinine EWAS"
"chr6",30752331,30752331,"Gupta cotinine EWAS"
"chr5",140710819,140710819,"Gupta cotinine EWAS"
"chr10",124940757,124940757,"Gupta cotinine EWAS"
"chr12",57191188,57191188,"Gupta cotinine EWAS"
"chr11",60856309,60856309,"Gupta cotinine EWAS"
"chr1",178486665,178486665,"Gupta cotinine EWAS"
"chr5",399245,399245,"Gupta cotinine EWAS"
"chr7",146115750,146115750,"Gupta cotinine EWAS"
"chr2",232419951,232419951,"Gupta cotinine EWAS"
"chr11",68370801,68370801,"Gupta cotinine EWAS"
"chr8",119412178,119412178,"Gupta cotinine EWAS"
"chr6",133954040,133954040,"Gupta cotinine EWAS"
"chr5",400617,400617,"Gupta cotinine EWAS"
"chr8",124725112,124725112,"Gupta cotinine EWAS"
"chr1",67833810,67833810,"Gupta cotinine EWAS"
"chr8",127365972,127365972,"Gupta cotinine EWAS"
"chr5",395329,395329,"Gupta cotinine EWAS"
"chr7",146117214,146117214,"Gupta cotinine EWAS"
"chr15",71330951,71330951,"Gupta cotinine EWAS"
"chr1",241641637,241641637,"Gupta cotinine EWAS"
"chr5",377243,377243,"Gupta cotinine EWAS"
"chr2",232385660,232385660,"Gupta cotinine EWAS"
"chr7",526830,526830,"Gupta cotinine EWAS"
"chr2",232419692,232419692,"Gupta cotinine EWAS"
"chr10",94623871,94623871,"Gupta cotinine EWAS"
"chr6",30752303,30752303,"Gupta cotinine EWAS"
"chr17",12971580,12971580,"Gupta cotinine EWAS"
"chr5",392805,392805,"Gupta cotinine EWAS"
