#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,1298561,.,2503,0.144429,1_1298561,-10.8736,1.53987e-27,-0.4108619,cg18224942,0.851070448379463
1,1549967,.,2503,0.126253,1_1549967,-11.2035,3.91873e-29,0.3577263,cg03538326,0.797553935871538
1,1554290,.,2503,0.121062,1_1554290,11.1789,5.17258e-29,0.3630501,cg12407057,0.80343283758402
1,1554548,.,2503,0.126653,1_1554548,11.418,3.40083e-30,-0.1421739,cg07211239,0.372063994581803
1,1555179,.,2503,0.13247,1_1555179,11.6426,2.5041e-31,-0.1376131,cg03427058,0.353415315070543
1,1555871,.,2503,0.134298,1_1555871,11.728,9.1554e-32,0.1134976,cg13321900,0.243992140463618
1,1732013,.,2503,0.118598,1_1732013,11.5089,1.18922e-30,-0.1753482,cg15028578,0.49037836816179
1,1735370,.,2503,0.118374,1_1735370,11.4999,1.3204e-30,0.6122891,cg15827003,0.947747471048476
1,1738309,.,2503,0.11247,1_1738309,11.2379,2.65614e-29,0.7288108,cg02915803,0.970046346063735
1,1742672,.,2503,0.124947,1_1742672,11.961,5.68872e-33,0.5361938,cg24525340,0.924381494650711
1,1743238,.,2503,0.125172,1_1743238,11.9608,5.69849e-33,-0.5203146,cg05132306,0.917939509920893
1,1747472,.,2503,0.13805,1_1747472,12.5353,4.78555e-36,-0.5674247,cg26153158,0.935182450710548
1,1752461,.,2503,0.138921,1_1752461,12.5429,4.34889e-36,0.5051126,cg07419586,0.910981693895471
1,1759611,.,2503,0.12238,1_1759611,11.706,1.18812e-31,-0.0779182,cg07719258,0.0877110084698711
1,1762287,.,2503,0.104006,1_1762287,10.6567,1.6228e-26,0.1631113,cg12150066,0.450946806374257
1,1764887,.,2503,0.112829,1_1764887,11.1302,8.94139e-29,-0.0782644,cg02577049,0.0888765509393249
1,1771864,.,2503,0.112411,1_1771864,11.0986,1.27439e-28,0.1535664,cg05262191,0.416425486003646
1,1772410,.,2503,0.111994,1_1772410,11.0905,1.39566e-28,-0.1521184,cg12406875,0.411066353230246
1,1790040,.,2503,0.114696,1_1790040,11.2083,3.71127e-29,0.3778519,cg24641654,0.819230663217291
1,1791493,.,2503,0.113666,1_1791493,11.17,5.71914e-29,-0.0610591,cg10219957,0.0358640567965695
1,1792927,.,2503,0.113876,1_1792927,11.1858,4.78566e-29,0.0935476,cg24086442,0.15136301528987
1,1814287,.,2503,0.113447,1_1814287,12.4441,1.50652e-35,0.1417978,cg20429981,0.370575565347162
1,1817295,.,2503,0.115117,1_1817295,11.2321,2.83617e-29,0.2047304,cg18231054,0.57103705716277
1,1819825,.,2503,0.113457,1_1819825,11.1619,6.26541e-29,0.3421269,cg15824543,0.779039136238527
