#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,1126468,.,503,0.0348056,1_1126468,3.57723,0.000347259,-0.1180003,cg03269716,0.265330230470273
1,2357096,.,503,0.0324296,1_2357096,-3.13174,0.00173773,-0.2385274,cg26687579,0.641064108773463
1,2360913,.,503,0.0288307,1_2360913,-2.95837,0.00309266,0.0870058,cg14288483,0.123220677353431
1,2416027,.,503,0.0361381,1_2416027,-3.40305,0.000666389,0.2287351,cg22682172,0.622505995062195
1,2416137,.,503,0.0398864,1_2416137,-3.54292,0.000395718,0.2431743,cg07381283,0.64963242098134
1,2420440,.,503,0.0431853,1_2420440,-3.66764,0.000244798,0.1835731,cg04259720,0.51492563760292
1,2420707,.,503,0.0431853,1_2420707,-3.66764,0.000244798,0.3188153,cg06215416,0.752428541614985
1,2422961,.,503,0.028965,1_2422961,-2.97772,0.00290403,0.1895122,cg01486818,0.532022885583893
1,3190052,.,503,0.0277651,1_3190052,3.52966,0.000416091,-0.5166418,cg20629417,0.916273886729748
1,3190390,.,503,0.0277651,1_3190390,3.52966,0.000416091,0.3906996,cg15391425,0.832291826633433
1,3198668,.,503,0.0394666,1_3198668,3.9013,9.5679e-05,0.0926649,cg07622451,0.147393870664162
1,3206560,.,503,0.0322084,1_3206560,3.5393,0.000401184,-0.1526183,cg09119863,0.412834355151816
1,3208882,.,503,0.0314422,1_3208882,3.55416,0.000379182,0.10089,cg09036220,0.184624289747558
1,3211832,.,503,0.0322551,1_3211832,3.59324,0.000326586,-0.1467181,cg12074391,0.390114152284424
1,3211856,.,503,0.0322551,1_3211856,3.59324,0.000326586,0.0869077,cg05265611,0.12285053886651
1,3217767,.,503,0.0394199,1_3217767,-3.61412,0.000301364,-0.2362337,cg08266202,0.637004398347765
1,3280516,.,503,0.0496724,1_3280516,-3.33239,0.000861021,-1.02131,cg17435683,0.991620694679062
1,3280916,.,503,0.0508177,1_3280916,-3.36651,0.000761267,-0.366812,cg11946666,0.807543737374931
1,3287792,.,503,0.0636289,1_3287792,-3.72381,0.000196242,-0.4176144,cg14659814,0.856894223083254
1,3292398,.,503,0.0602951,1_3292398,-3.50741,0.000452498,-0.2160854,cg12753787,0.596612051551628
