#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,931513,.,503,0.0165975,1_931513,2.37391,0.0176008,-0.2468136,cg00447632,0.656050779850291
1,1131023,.,503,0.0200681,1_1131023,-2.72838,0.00636465,-0.1193845,cg24158844,0.271689524687056
1,1135087,.,503,0.0205665,1_1135087,-1.94103,0.0522548,0.3204914,cg14824543,0.754109915380042
1,1153528,.,503,0.0193833,1_1153528,-1.90172,0.057208,0.8779705,cg15822328,0.984418744758012
1,1153768,.,503,0.0205665,1_1153768,-1.94103,0.0522548,0.5611771,cg21862126,0.933166377249871
1,1156691,.,503,0.0205665,1_1156691,-1.94103,0.0522548,0.3405587,cg14288281,0.777113628577841
1,1232800,.,503,0.0229452,1_1232800,-1.96368,0.0495667,-0.1476006,cg04343794,0.393614717336263
1,1235773,.,503,0.0205665,1_1235773,-1.8865,0.059228,-0.3989363,cg14094639,0.84000173256313
1,1469429,.,503,0.0230428,1_1469429,-2.44135,0.0146327,-0.3169197,cg00391668,0.750282525919538
1,1473170,.,503,0.0337202,1_1473170,-2.58695,0.00968283,-0.2496262,cg04981007,0.660665698006371
1,1487887,.,503,0.0349785,1_1487887,-2.86114,0.00422121,0.7025269,cg19517490,0.966191393098886
1,1490320,.,503,0.0349785,1_1490320,-2.86114,0.00422121,0.2323773,cg13487474,0.629503187522395
1,1490436,.,503,0.0326023,1_1490436,-2.55045,0.0107583,-0.1525433,cg00695214,0.41254690717793
1,1624723,.,503,0.025417,1_1624723,-2.76726,0.00565289,0.254655,cg11521998,0.669037128040353
1,2056554,.,503,0.0172188,1_2056554,2.42027,0.0155091,-0.1600552,cg00095688,0.440145850314421
1,2059723,.,503,0.0179117,1_2059723,-2.33726,0.0194255,-0.295504,cg27312944,0.726341653574002
1,2065141,.,503,0.0192993,1_2065141,2.53309,0.0113061,0.1425607,cg25976434,0.373615426112089
1,2065495,.,503,0.0192993,1_2065495,2.53309,0.0113061,-0.1477786,cg17495046,0.394217176788379
1,2069856,.,503,0.0277522,1_2069856,2.93909,0.00329173,-0.0927073,cg08732456,0.147571064620667
1,2070417,.,503,0.0302952,1_2070417,3.07319,0.0021178,0.1816219,cg20300514,0.509160927551298
1,2077005,.,503,0.0217739,1_2077005,2.62986,0.00854203,-0.138747,cg06157219,0.358152300174438
1,2084530,.,503,0.0331118,1_2084530,3.1708,0.00152021,0.1562362,cg01927825,0.426387724002693
1,2085196,.,503,0.0331118,1_2085196,3.1708,0.00152021,-0.0504235,cg21209510,0.0137975027465063
1,2087942,.,503,0.0306969,1_2087942,3.05186,0.00227425,-0.119332,cg18269141,0.271378450852303
1,2088267,.,503,0.0300476,1_2088267,3.03171,0.00243173,-0.1287623,cg24557048,0.314920912430747
1,2088904,.,503,0.0174352,1_2088904,2.37789,0.017412,-0.1507907,cg04771433,0.406069483656811
1,2089050,.,503,0.0265127,1_2089050,2.87235,0.00407429,0.3907463,cg06757383,0.832354828929079
1,2090332,.,503,0.0326762,1_2090332,3.15171,0.0016232,0.263894,cg03959306,0.683496154891144
1,2097768,.,503,0.0255613,1_2097768,2.91825,0.00352003,-0.1493565,cg02050917,0.40058040864864
1,2101935,.,503,0.0191384,1_2101935,2.59642,0.00942002,0.1660329,cg07797073,0.460924794947216
1,2477222,.,503,0.0198968,1_2477222,2.71873,0.00655331,0.70946,cg03847348,0.967254556837915
1,2965470,.,503,0.0223773,1_2965470,3.02702,0.00246974,0.4953552,cg22432982,0.906347087522002
1,2967367,.,503,0.0201184,1_2967367,2.91683,0.00353612,-0.2432871,cg23218354,0.649860804303057
1,3011857,.,503,0.0167472,1_3011857,2.58078,0.00985786,0.2273978,cg23226249,0.619934713871137
1,3019822,.,503,0.0167206,1_3019822,2.65891,0.00783949,0.492099,cg03976712,0.904831094783016
1,3020182,.,503,0.0173995,1_3020182,2.70277,0.00687641,0.0959741,cg04873098,0.162439606393158
1,3020239,.,503,0.0173995,1_3020239,2.70277,0.00687641,0.2673895,cg20141398,0.688449710386322
1,3020251,.,503,0.0187343,1_3020251,2.77357,0.00554441,-0.0945976,cg05348888,0.156261443776358
1,3021701,.,503,0.0187964,1_3021701,2.81153,0.00493067,-0.3809535,cg14365123,0.822459530869156
1,3024434,.,503,0.0202459,1_3024434,2.90057,0.0037248,-0.1269657,cg18123385,0.306663674057623
1,3026619,.,503,0.0198345,1_3026619,2.86543,0.00416441,-0.1276643,cg00169776,0.309955544005135
1,3026834,.,503,0.0198345,1_3026834,2.86543,0.00416441,0.0617731,cg05346286,0.0375375552746703
1,3032464,.,503,0.0173995,1_3032464,2.70277,0.00687641,-0.1229899,cg18854424,0.288708019798471
1,3038681,.,503,0.0274388,1_3038681,3.30534,0.000948625,-0.1421596,cg00996827,0.37201280521659
1,3106831,.,503,0.0191746,1_3106831,2.7131,0.00666568,-0.1314265,cg22674798,0.327072480203497
1,3114060,.,503,0.017207,1_3114060,-2.58002,0.00987948,-0.1799863,cg27444751,0.504321563716978
1,3135937,.,503,0.0180801,1_3135937,2.59357,0.00949843,-0.4192238,cg17455155,0.858122767848353
1,3162165,.,503,0.0257662,1_3162165,-2.27175,0.0231017,0.7585609,cg15090440,0.973747730932946
