#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,2332063,.,503,0.0233081,1_2332063,3.16772,0.00153641,0.3675113,cg15555402,0.808295827279206
1,2396376,.,503,0.0281198,1_2396376,3.28552,0.00101795,0.0913571,cg07507129,0.141810292212523
1,2398563,.,503,0.0220253,1_2398563,-2.67516,0.00746934,-0.2075881,cg11070929,0.577738926362129
1,2477395,.,503,0.0310258,1_2477395,3.64176,0.000270783,-0.2142513,cg03722487,0.592465712969416
1,2811239,.,503,0.0269124,1_2811239,3.05436,0.00225545,0.1207338,cg06711333,0.278147259990786
1,2812156,.,503,0.0263105,1_2812156,3.02822,0.00246001,-0.0807803,cg10716120,0.0980748861036624
1,2819408,.,503,0.0545312,1_2819408,-3.49877,0.000467412,0.2163141,cg09808235,0.59709244405593
1,2837623,.,503,0.0300828,1_2837623,3.34536,0.000821757,-0.07429,cg22678044,0.0752956185841022
1,2841167,.,503,0.0432479,1_2841167,3.91709,8.96236e-05,0.0891382,cg06784198,0.132218192700397
1,2843290,.,503,0.0431554,1_2843290,3.91694,8.96783e-05,-0.0618388,cg03389046,0.0377383750920424
1,2845298,.,503,0.0298542,1_2845298,3.35265,0.000800419,-0.3545804,cg03976856,0.793947054445796
1,2846816,.,503,0.0298542,1_2846816,3.35265,0.000800419,-0.0398399,cg09516210,0.00211845219110171
1,2847503,.,503,0.0330555,1_2847503,3.54629,0.000390694,0.1088872,cg07700843,0.222256348465697
1,2862201,.,503,0.025594,1_2862201,3.1325,0.00173325,0.129243,cg07230639,0.317122055134884
1,3141097,.,503,0.0224316,1_3141097,-2.9775,0.00290608,-0.1788891,cg00049709,0.501033631412945
1,3356499,.,503,0.0300205,1_3356499,3.34681,0.00081748,-0.1869451,cg06970772,0.524675242854161
1,3558062,.,503,0.0317883,1_3558062,-3.30787,0.000940092,0.72155,cg14421582,0.969038309333396
1,3561338,.,503,0.0334511,1_3561338,-3.40054,0.000672532,-0.2003143,cg12612393,0.560472359711607
1,3616139,.,503,0.0398485,1_3616139,-3.42447,0.000615989,0.549771,cg13059495,0.929398052441536
1,3617959,.,503,0.0479064,1_3617959,-3.77584,0.000159467,-0.5296991,cg04361279,0.921818088746609
1,3619896,.,503,0.0436835,1_3619896,-3.59416,0.000325434,0.1795466,cg27254546,0.503085143664922
1,3621294,.,503,0.044537,1_3621294,-3.63004,0.000283373,0.1164702,cg18021902,0.257884146653594
1,3622917,.,503,0.0436835,1_3622917,-3.59416,0.000325434,0.2635868,cg11137517,0.683031512960754
1,3674579,.,503,0.0220851,1_3674579,-2.87786,0.00400389,-0.277433,cg04600984,0.702786670289299
1,5321352,.,503,0.0212351,1_5321352,2.80238,0.00507269,-0.0598223,cg18224977,0.0328399466055544
1,6149205,.,503,0.0213308,1_6149205,-2.33154,0.0197249,0.2907718,cg09667775,0.720368248418052
1,6579787,.,503,0.0246359,1_6579787,-2.84854,0.00439204,-0.2589538,cg07565540,0.675991006422296
1,7501170,.,503,0.0378302,1_7501170,3.04385,0.00233571,0.3017719,cg24501872,0.733555416425486
1,8293405,.,503,0.0224799,1_8293405,2.93926,0.00328997,-0.0698076,cg21172944,0.0605688319768152
1,8347227,.,503,0.0215514,1_8347227,2.70945,0.00673956,-0.054191,cg04760426,0.0205466236675999
1,8363969,.,503,0.0269772,1_8363969,-2.13354,0.0328805,-0.4992349,cg00569091,0.908268657539209
