#CHROM,POS,ID,OBS_CT,HUDSON_FST,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc
1,1185634,.,347,0.114265,1_1185634,-5.21956,1.79353e-07,0.7438649,cg02709725,0.972026980733111
1,1185961,.,347,0.109289,1_1185961,-5.1278,2.93154e-07,0.2149066,cg24807889,0.593997456282313
1,1186414,.,347,0.110746,1_1186414,-5.14804,2.63219e-07,0.1027804,cg08090128,0.193617867451045
1,1187726,.,347,0.102108,1_1187726,-4.92772,8.31942e-07,-0.0935888,cg06440474,0.151571710394197
1,1189019,.,347,0.102108,1_1189019,-4.92772,8.31942e-07,-0.3254929,cg19928336,0.759705306762115
1,1189511,.,347,0.102108,1_1189511,-4.92772,8.31942e-07,-0.160016,cg12208770,0.440027721010084
1,1190856,.,347,0.09901,1_1190856,-4.85711,1.1911e-06,-0.1826229,cg15924570,0.512015719072764
1,1191614,.,347,0.0973304,1_1191614,-4.80787,1.52546e-06,0.1421422,cg10056813,0.371941927633988
1,1199253,.,347,0.0943211,1_1199253,-4.76271,1.91011e-06,-0.1811031,cg26863172,0.50766856067318
1,1199327,.,347,0.0987192,1_1199327,-4.82938,1.36956e-06,0.1249892,cg07181952,0.297740973936738
1,1259424,.,347,0.103183,1_1259424,5.14108,2.73168e-07,0.2811904,cg03278726,0.707933170314893
1,1268558,.,347,0.117159,1_1268558,-5.17704,2.25431e-07,-0.4195767,cg23891364,0.858414153465717
1,1274980,.,347,0.0996623,1_1274980,-4.89251,9.95563e-07,-0.1698833,cg19270739,0.473198429667781
1,1275055,.,347,0.115225,1_1275055,-5.07551,3.8646e-07,0.2446146,cg01437515,0.65214463752023
1,1275468,.,347,0.115225,1_1275468,-5.07551,3.8646e-07,0.3186922,cg23394673,0.752243472371525
1,1277269,.,347,0.0962323,1_1277269,-4.90539,9.32411e-07,-0.1002492,cg01198994,0.181710433573923
1,1277415,.,347,0.0987767,1_1277415,-4.82783,1.38029e-06,0.2224018,cg03400623,0.609759843124284
1,1309988,.,347,0.103725,1_1309988,5.20446,1.94562e-07,-0.1650177,cg08161163,0.4574557310432
1,1312114,.,347,0.106058,1_1312114,5.2784,1.30316e-07,0.3422252,cg12208770,0.779137577325474
1,1367874,.,347,0.101746,1_1367874,-5.00916,5.46686e-07,-0.203698,cg14795268,0.568540591197792
1,1367919,.,347,0.10006,1_1367919,-4.95857,7.10149e-07,0.3858665,cg05387269,0.827661157903441
1,1368763,.,347,0.0983852,1_1368763,-4.90813,9.19488e-07,0.4077113,cg00968800,0.848203843927563
1,1370113,.,347,0.109119,1_1370113,5.3029,1.13979e-07,-0.3775933,cg02506753,0.818994404608618
1,1613421,.,347,0.113698,1_1613421,5.49484,3.91071e-08,-0.4385921,cg07147033,0.873050374273013
1,1613974,.,347,0.0944369,1_1613974,-5.05779,4.24139e-07,-0.1507638,cg13947830,0.405982855500297
1,1616547,.,347,0.111905,1_1616547,5.43959,5.34048e-08,-0.340577,cg01229567,0.777133316795231
1,1617375,.,347,0.107633,1_1617375,5.35512,8.5499e-08,0.5230181,cg00078456,0.919171992329471
1,1627156,.,347,0.112107,1_1627156,-5.04778,4.4698e-07,-0.3717438,cg04575144,0.812831992565729
1,1732013,.,347,0.0989788,1_1732013,-5.25139,1.50954e-07,-0.1753482,cg15028578,0.49037836816179
1,1735370,.,347,0.0989788,1_1735370,-5.25139,1.50954e-07,0.6122891,cg15827003,0.947747471048476
1,1814287,.,347,0.118608,1_1814287,-5.27667,1.3155e-07,0.1417978,cg20429981,0.370575565347162
1,2301093,.,347,0.0942566,1_2301093,-4.55091,5.34151e-06,0.3593548,cg09556700,0.799495194106135
1,2345557,.,347,0.0975333,1_2345557,-4.98772,6.10951e-07,0.1173081,cg07087919,0.261951732366248
1,2347995,.,347,0.108223,1_2347995,-5.22265,1.76378e-07,-0.1531758,cg07559319,0.414870116829882
1,2349222,.,347,0.0957304,1_2349222,-5.08835,3.61191e-07,0.1200489,cg05787839,0.274690009017204
1,2350943,.,347,0.10215,1_2350943,-5.08196,3.73565e-07,-0.1970716,cg05041517,0.552695513842786
1,2354291,.,347,0.10215,1_2354291,-5.08196,3.73565e-07,0.1037577,cg21145284,0.198291850259294
