"chr","start","end","details"
"chr17",76682754,76682754,"BMI DNAm score"
"chr12",12265611,12265611,"BMI DNAm score"
"chr2",25302008,25302008,"BMI DNAm score"
"chr3",52530999,52530999,"BMI DNAm score"
"chr7",29113944,29113944,"BMI DNAm score"
"chr10",127987273,127987273,"BMI DNAm score"
"chr16",3065132,3065132,"BMI DNAm score"
"chr10",124648236,124648236,"BMI DNAm score"
"chr16",70736701,70736701,"BMI DNAm score"
"chr7",100475658,100475658,"BMI DNAm score"
"chr17",2624986,2624986,"BMI DNAm score"
"chr17",40314812,40314812,"BMI DNAm score"
"chr12",89657190,89657190,"BMI DNAm score"
"chr1",203304565,203304565,"BMI DNAm score"
"chr11",68840154,68840154,"BMI DNAm score"
"chr5",31427593,31427593,"BMI DNAm score"
"chr2",218389865,218389865,"BMI DNAm score"
"chr16",1133462,1133462,"BMI DNAm score"
"chr10",122468962,122468962,"BMI DNAm score"
"chr5",172339025,172339025,"BMI DNAm score"
"chr14",91285387,91285387,"BMI DNAm score"
"chr4",52933224,52933224,"BMI DNAm score"
"chr1",234770025,234770025,"BMI DNAm score"
"chr16",56515845,56515845,"BMI DNAm score"
"chr3",125109279,125109279,"BMI DNAm score"
"chr16",57759816,57759816,"BMI DNAm score"
"chr22",38218789,38218789,"BMI DNAm score"
"chr17",48433030,48433030,"BMI DNAm score"
"chr21",42233124,42233124,"BMI DNAm score"
"chr16",68707845,68707845,"BMI DNAm score"
"chr14",23117677,23117677,"BMI DNAm score"
"chr5",120466327,120466327,"BMI DNAm score"
"chr16",30398587,30398587,"BMI DNAm score"
"chr3",184345709,184345709,"BMI DNAm score"
"chr3",54965764,54965764,"BMI DNAm score"
"chr19",46785006,46785006,"BMI DNAm score"
"chr9",133142368,133142368,"BMI DNAm score"
"chr17",81400891,81400891,"BMI DNAm score"
"chr11",30481389,30481389,"BMI DNAm score"
"chr3",192213137,192213137,"BMI DNAm score"
"chr3",142887976,142887976,"BMI DNAm score"
"chr16",89856131,89856131,"BMI DNAm score"
"chr7",5528231,5528231,"BMI DNAm score"
