identifier,gene,panel,cohort,cpg,coef,chr,pos,gene_start,gene_end,gene_chr,cpg_status
2516-57,CCL21,SomaScan,KORA,cg07900968,0.007142292,19,36909326,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg18542688,0.00829481,2,241290875,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12716639,-0.001088031,11,119234198,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg01175020,-0.015426188,10,102896475,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg17170088,0.023436031,8,145159375,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12471789,-0.00469084,1,150529664,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg06532856,-0.0093856,11,68762338,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg10021295,-0.004254172,16,66731183,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg17582545,0.010383855,7,157647847,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12116137,0.014576829,17,1576449,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg14710552,0.001221589,7,134832584,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg10563109,-0.003950442,6,5087749,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg02155829,0.003158672,1,39325484,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg21495612,0.003382634,14,96342250,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg16253537,0.014257907,5,131132836,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg00466364,0.005348461,19,11592764,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg02861056,0.001762778,2,68592345,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg25259697,0.000787369,7,1989360,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg04657224,-0.011220815,8,11059038,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg15213732,0.012121121,10,860677,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg13876222,0.031894469,9,139399348,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg07068382,0.004594054,6,36947277,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg11349423,-0.00017439,11,133232657,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg09126090,-0.02655881,1,1534514,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12156831,0.012648279,19,10713352,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg07077900,0.002205707,3,53916135,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg05337258,-0.009677844,11,61106920,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg00813509,0.011049085,12,124941317,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg09529023,0.022260268,16,2097506,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg18698690,0.002907014,3,129612569,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg22816913,-0.001362931,19,54578294,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg13375457,0.00452607,6,33263343,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg00760338,0.003924899,3,185826511,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg09990440,-0.001226368,6,30710455,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg23791442,-0.001555334,22,43010704,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg07545636,0.002820778,2,10262820,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg15048078,0.00308996,4,38665599,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg20783319,-0.006064626,11,112831681,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg25349939,0.014870084,2,144855085,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg03613353,-0.00376912,19,7695641,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg22960135,-0.010151022,19,41082622,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg11092486,-0.014208381,6,5087604,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg00321709,-0.01371271,10,135341933,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg15175162,-0.003091336,4,15657657,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg03526224,-0.01628725,19,57989117,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg03687700,-0.005498603,2,24271844,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg11722581,0.008662753,10,695853,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg25227364,-0.006437233,19,49217490,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg14812474,-0.004950169,4,7632386,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg26702039,0.006551518,16,66170991,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg19250113,0.013875599,17,29298832,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg24163263,0.000997359,13,107335632,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg08750807,-0.020355062,16,70286329,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg19824710,-0.013454241,1,43995379,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg14616345,0.011978764,9,133901267,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12019475,-0.011212032,6,45700739,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg11643285,-0.032992469,3,16411667,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg06038777,-0.004163926,8,26371800,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg01247836,-0.01655586,17,36722136,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg01616489,-0.070084973,12,133249980,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg01881899,0.000387101,21,43652704,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg00415057,-0.003955096,16,68333694,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg07926895,-0.013674361,1,200005833,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg21163415,-0.000908222,20,57876201,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg24275356,0.006692156,6,32942541,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg22056870,0.017694369,19,5784688,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12780322,-0.003703745,4,57334163,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg08506874,-0.002008752,19,459731,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg15501552,-0.015203153,19,47153327,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg06690548,-0.053186442,4,139162808,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg07830750,-0.003760756,16,854640,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg21775675,-0.006059724,5,87441487,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg20479870,-0.000578791,15,99192677,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg03618918,0.00220672,1,160865097,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg04802386,0.00333973,4,103998345,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg06538684,0.002891511,12,12511223,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg25969108,-0.003862086,19,35605636,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg01661567,0.007732558,4,1843351,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg13495369,-0.000861719,2,223160569,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg09739536,-0.013133197,5,178339445,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg11024682,0.010851438,17,17730094,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg17681818,-0.005221452,16,70835134,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg10802936,-0.007778772,10,43599476,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg17169998,0.007435791,22,50524124,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg21964662,-0.004719066,13,79234715,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg04887675,0.004239771,13,110956761,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg14687145,0.007263485,2,29234537,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg04788926,0.019527458,18,76617198,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg27214652,0.013876101,14,64009971,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg12012524,-0.004045021,19,1268008,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg24079790,0.016492535,11,107993467,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg02068690,0.016125926,2,25600451,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg03448754,0.003069141,10,77542302,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg08519643,0.000302388,4,84030854,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg21461082,0.001832869,21,48081619,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg08252804,-0.011768105,2,202788592,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg09686672,0.006651069,12,57589253,34710136,34709005,9,TRANS
2516-57,CCL21,SomaScan,KORA,cg10988359,-0.01078356,8,140042087,34710136,34709005,9,TRANS
2579-17,MMP9,SomaScan,KORA,cg06911873,-0.023263962,19,37342585,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg22960869,0.004886281,17,47287521,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg26275825,-0.001000612,10,135008417,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg05575921,-0.135780803,5,373378,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg23404573,0.007105172,19,7991114,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg09214398,-0.006533581,15,78556534,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg18264657,0.000633331,18,4455862,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg25572477,0.010191574,3,171757506,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg18155888,0.003125291,1,2266591,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg11880727,-0.000996089,14,63512265,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg14661803,0.023685692,2,207958145,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg04744134,0.022004645,19,8408128,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg11589287,-0.009141097,8,1905343,46008908,46016561,20,TRANS
2579-17,MMP9,SomaScan,KORA,cg25063864,-0.000940964,18,77489374,46008908,46016561,20,TRANS
