CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg06690548,4,139162808,SLC7A11,Body,0.90,0.043,-0.0079,1.4E-86,-0.0066,7.4E-70,-0.0060,6.2E-46,6.6E-81,3.6E-64,3.0E-40,no,yes,yes
cg12825509,3,185648568,TRA2B,Body,0.47,0.066,-0.0033,7.4E-41,-0.0024,1.9E-26,-0.0024,8.5E-21,1.8E-35,3.1E-21,1.0E-15,no,yes,yes
cg14476101,1,120255992,PHGDH,Body,0.69,0.072,-0.0040,2.2E-39,-0.0034,6.2E-34,-0.0036,2.2E-29,3.6E-34,1.5E-28,5.4E-24,no,yes,yes
cg06644515,1,173834831,SNORD47,TSS1500,0.55,0.069,-0.0024,1.5E-30,-0.0016,5.5E-17,-0.0016,7.1E-14,1.8E-25,2.2E-12,2.2E-09,no,yes,yes
cg02711608,19,47287964,SLC1A5,1stExon,0.21,0.042,-0.0026,5.6E-30,-0.0021,2.4E-24,-0.0022,1.9E-21,5.4E-25,2.9E-19,3.1E-16,no,yes,yes
cg02583484,12,54677008,HNRNPA1,Body,0.31,0.043,-0.0021,1.6E-29,-0.0014,1.4E-16,-0.0013,1.9E-12,1.3E-24,5.4E-12,2.6E-08,no,yes,yes
cg11376147,11,57261198,SLC43A1,Body,0.17,0.034,-0.0021,2.4E-29,-0.0015,1.3E-18,-0.0017,1.9E-19,1.7E-24,7.6E-14,1.7E-14,no,yes,yes
cg18120259,6,43894639,LOC100132354,Body,0.62,0.086,-0.0024,3.8E-27,-0.0019,1.1E-20,-0.0018,2.1E-15,2.3E-22,1.1E-15,9.4E-11,no,yes,yes
cg26856289,1,24307516,SFRS13A,TSS1500,0.34,0.054,-0.0021,3.0E-25,-0.0016,4.7E-18,-0.0018,3.8E-17,1.6E-20,2.5E-13,2.6E-12,,yes,yes
cg10589813,20,48809978,,,0.56,0.058,-0.0018,2.5E-24,-0.0012,1.5E-12,-0.0012,9.5E-11,1.2E-19,2.2E-08,6.3E-07,no,yes,yes
cg15804598,17,43224418,HEXIM1,TSS1500,0.58,0.055,-0.0015,3.3E-24,-0.0011,1.2E-15,-0.0011,2.4E-12,1.4E-19,4.2E-11,3.0E-08,no,yes,yes
cg16246545,1,120255941,PHGDH,Body,0.51,0.055,-0.0022,3.8E-23,-0.0017,1.2E-17,-0.0020,2.1E-19,1.6E-18,5.5E-13,1.7E-14,no,yes,yes
cg00422488,9,100747767,ANP32B,Body,0.11,0.035,-0.0033,6.9E-23,-0.0023,2.7E-13,-0.0024,1.8E-12,2.6E-18,4.8E-09,2.6E-08,,yes,yes
cg11826008,20,34249284,CPNE1,5'UTR,0.30,0.056,-0.0022,1.5E-22,-0.0013,8.4E-11,-0.0017,3.0E-13,5.1E-18,5.7E-07,6.6E-09,,yes,yes
cg17058475,11,68607737,CPT1A,5'UTR,0.12,0.059,-0.0044,2.0E-22,-0.0036,8.5E-18,-0.0039,5.3E-17,6.3E-18,4.1E-13,3.2E-12,no,yes,yes
cg19693031,1,145441552,TXNIP,3'UTR,0.77,0.058,-0.0029,1.4E-21,-0.0025,5.2E-19,-0.0025,1.3E-14,4.4E-17,3.6E-14,4.5E-10,no,yes,yes
cg03607573,11,93471889,TAF1D,Body,0.39,0.061,-0.0021,2.0E-21,-0.0014,7.6E-12,-0.0015,9.5E-12,5.6E-17,7.7E-08,9.4E-08,,yes,yes
cg25998745,8,142028625,,,0.71,0.062,-0.0025,2.8E-21,-0.0019,4.0E-15,-0.0017,7.4E-10,7.4E-17,1.1E-10,3.1E-06,no,yes,yes
cg03044573,1,173835265,GAS5,Body,0.49,0.100,-0.0038,2.9E-21,-0.0028,1.2E-14,-0.0031,1.7E-13,7.4E-17,2.9E-10,4.4E-09,no,yes,yes
cg07567724,1,153777721,GATAD2B,3'UTR,0.32,0.054,-0.0021,3.1E-21,-0.0016,1.0E-14,-0.0017,4.2E-13,7.6E-17,2.5E-10,8.6E-09,no,yes,yes
cg20625334,2,152991620,STAM2,Body,0.58,0.078,-0.0024,6.3E-21,-0.0016,1.6E-12,-0.0019,8.8E-13,1.5E-16,2.3E-08,1.5E-08,,yes,yes
cg23684449,16,46919194,GPT2,Body,0.53,0.071,-0.0015,8.4E-21,-0.0009,3.0E-09,-0.0010,4.7E-09,1.8E-16,9.0E-06,1.4E-05,,yes,yes
cg03523740,1,32645027,TXLNA,TSS1500,0.35,0.035,-0.0013,1.8E-20,-0.0009,8.0E-11,-0.0010,1.2E-10,3.8E-16,5.5E-07,7.5E-07,no,yes,yes
cg15114651,19,47289410,SLC1A5,TSS1500,0.56,0.046,-0.0011,2.4E-20,-0.0008,5.8E-12,-0.0010,2.6E-15,4.8E-16,6.1E-08,1.0E-10,,yes,yes
cg03339609,19,34662636,LSM14A,TSS1500,0.24,0.049,-0.0021,3.7E-20,-0.0013,5.6E-10,-0.0014,5.1E-09,7.2E-16,2.8E-06,1.4E-05,no,yes,yes
cg07626482,19,47289503,SLC1A5,TSS1500,0.29,0.037,-0.0014,4.0E-20,-0.0010,1.1E-11,-0.0010,6.1E-11,7.4E-16,9.7E-08,4.4E-07,no,yes,yes
cg06829760,2,16845412,FAM49A,5'UTR,0.48,0.058,-0.0015,6.1E-20,-0.0012,1.8E-14,-0.0013,5.5E-13,1.1E-15,4.0E-10,1.0E-08,,yes,yes
cg23205886,5,138611766,SNHG4,Body,0.52,0.058,-0.0014,6.3E-20,-0.0011,4.8E-14,-0.0012,2.2E-13,1.1E-15,1.0E-09,5.2E-09,no,yes,yes
cg26841068,1,203456691,PRELP,3'UTR,0.41,0.043,-0.0014,6.4E-20,-0.0010,3.3E-12,-0.0012,1.1E-12,1.1E-15,4.4E-08,1.7E-08,,yes,yes
cg19939077,10,81108060,PPIF,Body,0.17,0.040,-0.0025,7.7E-20,-0.0017,2.3E-11,-0.0016,7.6E-09,1.2E-15,1.9E-07,2.0E-05,no,yes,yes
cg05288253,16,89552259,ANKRD11,5'UTR,0.59,0.056,-0.0014,9.9E-20,-0.0011,2.5E-15,-0.0011,3.7E-12,1.6E-15,7.7E-11,4.3E-08,,yes,yes
cg08115371,11,79115706,ODZ4,5'UTR,0.69,0.071,-0.0029,1.4E-19,-0.0023,6.2E-15,-0.0027,6.5E-16,2.1E-15,1.6E-10,3.5E-11,no,yes,yes
cg21429551,7,30635762,GARS,Body,0.46,0.095,-0.0034,1.7E-19,-0.0024,3.7E-12,-0.0031,1.8E-15,2.5E-15,4.7E-08,9.0E-11,no,yes,yes
cg06469895,16,69418206,TERF2,Body,0.65,0.073,-0.0016,2.4E-19,-0.0012,4.2E-12,-0.0013,1.3E-11,3.4E-15,4.8E-08,1.2E-07,no,yes,yes
cg04460609,4,16532808,LDB2,Body,0.49,0.075,-0.0022,3.1E-19,-0.0017,5.1E-14,-0.0016,6.9E-11,4.3E-15,1.0E-09,4.9E-07,no,yes,yes
cg13408712,11,129817591,PRDM10,TSS200,0.61,0.043,-0.0012,4.4E-19,-0.0009,2.8E-13,-0.0008,3.0E-10,6.0E-15,4.8E-09,1.6E-06,,yes,yes
cg04367503,19,13121571,NFIX,Body,0.52,0.099,-0.0037,5.6E-19,-0.0028,2.2E-13,-0.0031,4.1E-13,7.4E-15,4.2E-09,8.6E-09,,yes,yes
cg16290996,1,173835989,GAS5,Body,0.28,0.061,-0.0026,1.1E-18,-0.0019,4.1E-12,-0.0020,4.4E-11,1.4E-14,4.8E-08,3.2E-07,no,yes,yes
cg02578470,3,127320670,MCM2,Body,0.46,0.073,-0.0017,1.3E-18,-0.0012,9.8E-12,-0.0014,1.3E-12,1.7E-14,8.9E-08,2.1E-08,no,yes,yes
cg08899105,15,93450671,CHD2,Body,0.47,0.058,-0.0014,1.5E-18,-0.0009,2.6E-09,-0.0009,4.5E-08,1.8E-14,8.3E-06,7.2E-05,,yes,yes
cg18590502,3,49203081,CCDC71,5'UTR,0.35,0.072,-0.0026,2.0E-18,-0.0017,2.3E-10,-0.0015,8.7E-07,2.3E-14,1.4E-06,5.9E-04,no,yes,yes
cg04261072,13,79977499,RBM26,Body,0.49,0.063,-0.0019,2.3E-18,-0.0013,7.4E-11,-0.0014,1.7E-09,2.7E-14,5.2E-07,6.3E-06,,yes,yes
cg07577824,20,17943403,SNX5,Body,0.38,0.052,-0.0017,3.1E-18,-0.0011,1.4E-09,-0.0011,1.6E-08,3.5E-14,5.3E-06,3.4E-05,,yes,yes
cg18763536,12,11812062,ETV6,Body,0.38,0.051,-0.0015,3.5E-18,-0.0011,1.1E-11,-0.0012,9.7E-11,3.9E-14,9.7E-08,6.4E-07,no,yes,yes
cg25739016,1,167638918,RCSD1,Body,0.67,0.081,-0.0018,6.9E-18,-0.0014,1.2E-12,-0.0012,1.3E-07,7.5E-14,1.9E-08,1.5E-04,,yes,yes
cg16834011,22,19931790,COMT,5'UTR,0.86,0.050,-0.0030,7.8E-18,-0.0024,2.3E-13,-0.0020,3.3E-08,8.2E-14,4.3E-09,5.8E-05,,yes,yes
cg22304262,19,47287778,SLC1A5,Body,0.79,0.058,-0.0026,1.2E-17,-0.0019,8.7E-12,-0.0021,6.2E-11,1.3E-13,8.2E-08,4.4E-07,,yes,yes
cg19142553,7,26236069,HNRNPA2B1,Body,0.62,0.086,-0.0017,1.4E-17,-0.0011,5.2E-09,-0.0011,1.6E-08,1.4E-13,1.4E-05,3.4E-05,,yes,yes
cg03725309,1,109757585,SARS,Body,0.18,0.054,-0.0023,1.7E-17,-0.0018,4.1E-12,-0.0020,2.6E-12,1.7E-13,4.8E-08,3.0E-08,,yes,yes
cg03217115,2,118942841,,,0.54,0.068,-0.0021,1.7E-17,-0.0014,4.3E-10,-0.0017,3.9E-11,1.7E-13,2.3E-06,3.0E-07,,yes,yes
cg13724812,3,30689835,TGFBR2,Body,0.59,0.069,-0.0019,2.6E-17,-0.0014,1.7E-11,-0.0011,2.2E-06,2.5E-13,1.4E-07,1.1E-03,,yes,yes
cg04383058,11,67273507,PITPNM1,TSS1500,0.24,0.044,-0.0016,2.9E-17,-0.0010,1.5E-08,-0.0010,6.7E-08,2.7E-13,3.3E-05,9.2E-05,,yes,yes
cg13702222,3,152017240,MBNL1,1stExon,0.34,0.079,-0.0029,5.2E-17,-0.0020,2.9E-10,-0.0022,4.5E-10,4.8E-13,1.7E-06,2.2E-06,,yes,yes
cg08170911,3,53202324,PRKCD,5'UTR,0.49,0.073,-0.0010,5.7E-17,-0.0007,1.8E-10,-0.0007,3.4E-07,5.1E-13,1.2E-06,3.0E-04,,yes,yes
cg18388547,1,35513161,,,0.40,0.047,-0.0012,6.3E-17,-0.0009,2.5E-11,-0.0009,2.0E-09,5.5E-13,2.0E-07,7.2E-06,,yes,yes
cg00574958,11,68607622,CPT1A,5'UTR,0.10,0.039,-0.0031,8.3E-17,-0.0024,5.4E-12,-0.0029,9.6E-14,7.2E-13,6.0E-08,2.7E-09,no,yes,yes
cg05356319,19,13122449,NFIX,Body,0.33,0.064,-0.0024,9.2E-17,-0.0018,7.9E-12,-0.0022,1.0E-13,7.8E-13,7.8E-08,2.8E-09,no,yes,yes
cg00085438,3,152049980,MBNL1,Body,0.53,0.057,-0.0019,9.4E-17,-0.0014,6.6E-12,-0.0015,3.6E-10,7.8E-13,6.8E-08,1.9E-06,no,yes,yes
cg21626848,17,39969267,SC65,TSS1500,0.49,0.064,-0.0016,1.1E-16,-0.0012,3.5E-11,-0.0013,1.7E-10,9.1E-13,2.7E-07,9.8E-07,no,yes,yes
cg26873338,12,69637167,CPSF6,Body,0.75,0.053,-0.0020,1.3E-16,-0.0016,1.0E-11,-0.0017,2.3E-11,1.1E-12,9.0E-08,1.9E-07,,yes,yes
cg23654112,16,2525928,TBC1D24,5'UTR,0.38,0.032,-0.0010,1.4E-16,-0.0007,9.9E-10,-0.0007,5.8E-09,1.1E-12,4.1E-06,1.6E-05,no,yes,yes
cg13981001,9,130211749,RPL12,Body,0.58,0.048,-0.0013,1.6E-16,-0.0009,9.8E-10,-0.0009,1.8E-08,1.2E-12,4.1E-06,3.8E-05,,yes,yes
cg19390658,7,30636176,GARS,Body,0.70,0.073,-0.0023,1.6E-16,-0.0018,8.1E-12,-0.0021,1.9E-13,1.2E-12,7.8E-08,4.7E-09,no,yes,yes
cg20732076,6,42335231,TRERF1,5'UTR,0.18,0.057,-0.0027,1.8E-16,-0.0019,1.3E-10,-0.0023,5.4E-12,1.4E-12,8.3E-07,5.9E-08,no,yes,yes
cg20732160,3,48590040,PFKFB4,Body,0.80,0.042,-0.0017,3.4E-16,-0.0013,2.1E-12,-0.0013,6.7E-10,2.5E-12,2.9E-08,2.9E-06,,yes,yes
cg00252472,6,150739173,,,0.20,0.059,-0.0029,3.6E-16,-0.0027,1.4E-15,-0.0029,3.6E-15,2.7E-12,4.5E-11,1.3E-10,,yes,yes
cg05958351,16,2804731,SRRM2,5'UTR,0.72,0.048,-0.0016,5.4E-16,-0.0010,1.2E-08,-0.0012,1.5E-09,3.9E-12,2.8E-05,5.7E-06,,yes,yes
cg06688763,7,92238207,CDK6,3'UTR,0.67,0.110,-0.0035,6.2E-16,-0.0029,4.5E-13,-0.0026,1.0E-08,4.5E-12,7.5E-09,2.5E-05,,yes,yes
cg09646173,5,149317669,PDE6A,Body,0.60,0.075,-0.0021,6.4E-16,-0.0014,1.8E-08,-0.0015,2.2E-08,4.5E-12,3.7E-05,4.3E-05,no,yes,yes
cg26460530,22,39919067,,,0.25,0.046,-0.0018,7.5E-16,-0.0012,3.3E-09,-0.0013,2.9E-08,5.2E-12,1.0E-05,5.4E-05,,yes,yes
cg12866859,17,43224332,HEXIM1,TSS1500,0.78,0.039,-0.0016,7.9E-16,-0.0013,1.5E-12,-0.0012,3.0E-09,5.4E-12,2.2E-08,9.8E-06,no,yes,yes
cg03533472,16,46919112,GPT2,Body,0.51,0.099,-0.0022,1.3E-15,-0.0014,7.5E-08,-0.0014,9.1E-07,8.5E-12,1.1E-04,6.1E-04,,yes,yes
cg18336453,6,43082296,PTK7,Body,0.40,0.052,-0.0012,1.7E-15,-0.0013,2.1E-19,-0.0011,4.0E-12,1.2E-11,1.7E-14,4.5E-08,no,yes,yes
cg18159646,11,62621178,SNORD22,TSS1500,0.54,0.079,-0.0016,1.9E-15,-0.0013,1.7E-11,-0.0011,2.9E-07,1.2E-11,1.4E-07,2.7E-04,no,yes,yes
