cpg,coefficient
cg16113793,3.862548332
cg15970375,2.528262274
cg16057915,2.166077302
cg01503881,1.768139706
cg02650017,1.65518813
cg08174504,1.385116961
cg19613400,1.194822663
cg15537269,1.083021781
cg08033031,0.993051681
cg27078522,0.985226081
cg15804767,0.929505323
cg27118035,0.908717333
cg03440556,0.798785542
cg05926784,0.7958982
cg24011637,0.766586508
cg25215890,0.758911866
cg16298547,0.746899934
cg05322916,0.699208056
cg10785793,0.673698558
cg15348839,0.646053255
cg20060185,0.640179059
cg10747118,0.622537312
cg02402946,0.575473925
cg00107782,0.570320235
cg17301216,0.523569041
cg22857025,0.501258512
cg27020362,0.493123393
cg26516004,0.493021031
cg21376883,0.492244581
cg13215995,0.487301456
cg11145772,0.46878787
cg15020732,0.467599529
cg11745092,0.465055572
cg04900872,0.440557366
cg17132148,0.435111658
cg23263057,0.4183522
cg13676763,0.41305991
cg07872373,0.401222336
cg27530704,0.400226644
cg06824394,-0.408038094
cg21803245,-0.421064305
cg04745997,-0.422204875
cg14071612,-0.447030318
cg15831060,-0.449182682
cg06938101,-0.454209696
cg26615853,-0.461581658
cg08080174,-0.466389736
cg17315500,-0.467386865
cg20375320,-0.468669645
cg00332153,-0.472438132
cg21053741,-0.521821734
cg04651583,-0.522683035
cg25115993,-0.539341633
cg00252472,-0.545435712
cg07931411,-0.545965514
cg21628794,-0.554032723
cg22635008,-0.56585332
cg20283716,-0.571292551
cg06802565,-0.590317122
cg15043384,-0.590361141
cg00030466,-0.631204415
cg17591741,-0.661826146
cg09183840,-0.686696649
cg27176628,-0.697470716
cg17090968,-0.69969825
cg23873654,-0.700081339
cg17003395,-0.731345747
cg04678713,-0.807812608
cg02711608,-0.833526841
cg26856289,-0.878972084
cg20306694,-0.890931876
cg26369667,-0.908464573
cg26008007,-0.917332167
cg19692318,-0.941360834
cg12477533,-0.961048173
cg24537348,-1.014398322
cg07814318,-1.03090612
cg19706803,-1.063322251
cg06516445,-1.148820559
cg18917643,-1.151566444
cg06523224,-1.360547171
cg12825509,-1.418139426
cg05962079,-1.513303279
cg24429337,-1.702370961
cg20624830,-1.80033544
cg06690548,-2.599312879
cg01305596,-5.042819902
