ID,Zscore,P.value,Direction,geneSymbol,CHR,MAPINFO,
cg06690548,-22.06,7.75E-108,--,SLC7A11,chr4,139162808,
cg06088069,-15.849,1.44E-056,--,JDP2;JDP2;JDP2,chr14,75895604,
cg06644515,-14.445,2.71E-047,--,SNORD47;GAS5;SNORD81;SNORD80;SNORD78;SNORD79,chr1,173834831,
cg12825509,-13.61,3.54E-042,--,TRA2B,chr3,185648568,
cg11376147,-13.35,1.18E-040,--,SLC43A1,chr11,57261198,
cg14476101,-13.34,1.33E-040,--,PHGDH,chr1,120255992,
cg18120259,-13.226,6.19E-040,--,LOC100132354,chr6,43894639,
cg26457483,-13.185,1.07E-039,--,PHGDH,chr1,120256112,
cg12116137,12.92,3.48E-038,++,PRPF8,chr17,1576449,
cg03497652,12.49,8.12E-036,++,ANKS3,chr16,4751569,
cg25124205,-12.187,3.65E-034,--,TPD52L1;TPD52L1;TPD52L1;TPD52L1;TPD52L1;TPD52L1,chr6,125519976,
cg15837522,-12.021,2.74E-033,--,,chr8,117892654,
cg16113793,11.96,5.78E-033,++,LAMA3;LAMA3;LAMA3;LAMA3,chr18,21451607,
cg01538969,11.731,8.80E-032,++,DHX16;DHX16,chr6,30624636,
cg10254445,-11.684,1.54E-031,--,,chr1,37197260,
cg21912872,-11.462,2.06E-030,--,DYRK2;DYRK2,chr12,68055270,
cg08228578,-11.428,3.04E-030,--,SHMT2;SHMT2;SHMT2;SHMT2;SHMT2;SHMT2;SHMT2;SHMT2;SHMT2;SHMT2;SHMT2,chr12,57624193,
cg02711608,-11.211,3.61E-029,--,SLC1A5;SLC1A5;SLC1A5;SLC1A5,chr19,47287964,
cg12973487,11.177,5.30E-029,++,TCF3;TCF3,chr19,1623075,
cg01307228,-11.03,2.76E-28,--,RNLS;RNLS,chr10,90152007,
cg21998542,-10.90,1.22E-27,--,NRP1;NRP1;NRP1;NRP1;NRP1;NRP1,chr10,33605101,
cg07604036,-10.85,1.98E-27,--,SCN8A;SCN8A,chr12,52077660,
cg20493718,10.79,3.81E-27,++,CSNK1D;CSNK1D,chr17,80202979,
cg00252472,-10.70,1.07E-26,--,,chr6,150739173,
cg03137472,-10.53,6.57E-26,--,FYB;FYB;FYB,chr5,39215507,
cg19278199,-10.50,8.95E-26,--,INPP4B;INPP4B,chr4,143324267,
