chr10	97773887
chr8	42218528
chr15	75336500
chr16	75184278
chr16	55838368
chr16	4365695
chr8	1988840
chr6	166854304
chr18	11906578
chr11	2298125
chr7	43266091
chr2	166313764
chr22	37653159
chr22	41919786
chr8	67897577
chr10	47307413
chr9	131605807
chr3	141623302
chr14	93332875
chr2	240032102
chr13	99115681
chr14	105096723
chr22	45304936
chr9	123350533
chr13	44131305
chr12	80017084
chr15	68005074
chr12	69466426
chr6	80410694
chr17	28421309
chr4	169999726
chr2	237941817
chr10	33314334
chr12	28995004
chr11	2285843
chr19	46599403
chr3	12461456
chr17	19388755
chr7	157769147
chr12	56671399
chr10	98531826
chr9	111630966
chr1	109518426
chr14	100525030
chr8	80983633
chr6	161640110
chr1	7501170
chr10	5666348
chr17	19441996
chr2	156897462
chr10	22431787
chr18	69916195
chr13	48312146
chr3	66489204
chr2	231333615
chr18	69936744
chr14	105542308
chr12	128329794
chr3	186237722
chr17	45262392
chr17	64469006
chr10	22297990
chr22	36299382
chr20	63528151
chr19	49474929
chr17	55761161
chr9	130468272
chr1	1419135
chr17	74429020
chr11	130117205
chr4	7644529
chr19	39349909
chr14	61680493
chr1	206038933
chr2	157247694
chr2	3642846
chr17	61382803
chr9	137771634
chr7	4772628
chr3	188970535
chr4	13537332
chr7	99306677
chr13	48562419
chr16	5501820
chr17	60767670
chr9	93064335
chr7	99376965
chr20	31491531
chr19	53864343
chr2	189640971
chr17	60514672
chr4	41886173
chr12	34293731
chr12	5828188
chr1	68067092
chr17	55756230
chr4	7642975
chr10	67668932
chr14	22903704
chr15	56548676
chr2	102244784
chr22	41837046
chr1	47592859
chr13	20862619
chr11	118446245
chr17	7016938
chr14	74226589
chr1	27416337
chr5	78370603
chr6	736562
chr16	35075512
chr7	151440647
chr14	104353326
chr1	161715191
chr16	21940094
chr15	78689081
chr11	721570
chr6	158017860
chr16	47182045
chr15	56537293
chr11	119167918
chr14	46436928
chr5	78330933
chr2	151827217
chr14	24325108
chr15	74388801
chr7	50284441
chr7	32845166
chr11	61864038
chr20	45987758
chr14	46323300
chr12	65774371
chr22	40819668
chr22	41323465
chr4	82784625
chr3	65981108
chr1	47594417
chr12	116863646
chr22	36295923
chr5	78329124
chr10	132146331
chr2	174797147
chr16	28473820
chr1	54488572
chr2	164619743
chr22	49612430
chr22	41246208
chr22	41034334
chr22	41018051
chr19	40189374
